"2008-06-01","ACME","141247","124795","16452"
"2008-06-02","ACME","79638","69569","10069"
"2008-06-03","ACME","85841","77529","8312"
"2008-06-04","ACME","134152","123231","10921"
"2008-06-05","ACME","86850","75066","11784"
"2008-06-06","ACME","64439","54868","9571"
"2008-06-07","ACME","82208","75451","6757"
"2008-06-08","ACME","107369","90415","16954"
"2008-06-09","ACME","144238","131381","12857"
"2008-06-10","ACME","125115","106681","18434"
"2008-06-11","ACME","70658","57702","12956"
"2008-06-12","ACME","75538","62813","12725"
"2008-06-13","ACME","125209","108295","16914"
"2008-06-14","ACME","96016","83123","12893"
"2008-06-15","ACME","140400","128989","11411"
"2008-06-16","ACME","117062","108686","8376"
"2008-06-17","ACME","85819","75057","10762"
"2008-06-18","ACME","38563","32377","6186"
"2008-06-19","ACME","68913","62810","6103"
"2008-06-20","ACME","73060","58962","14098"
"2008-06-21","ACME","108820","93659","15161"
"2008-06-22","ACME","193082","174493","18589"
"2008-06-23","ACME","26443","22756","3687"
"2008-06-24","ACME","144357","129718","14639"
"2008-06-25","ACME","21124","17310","3814"
"2008-06-26","ACME","111384","100234","11150"
"2008-06-27","ACME","41685","36012","5673"
"2008-06-28","ACME","136109","123390","12719"
"2008-06-29","ACME","138120","121755","16365"
"2008-06-30","ACME","74770","65287","9483"
"2008-07-01","ACME","46791","38113","8678"
"2008-07-02","ACME","131078","123195","7883"
"2008-07-03","ACME","115760","101484","14276"
"2008-07-04","ACME","42300","34472","7828"
"2008-07-05","ACME","133676","120976","12700"
"2008-07-06","ACME","156637","139918","16719"
"2008-07-07","ACME","107114","100304","6810"
"2008-07-08","ACME","119816","106446","13370"
"2008-07-09","ACME","137395","121705","15690"
"2008-07-10","ACME","123635","102972","20663"
"2008-07-11","ACME","167806","151758","16048"
"2008-07-12","ACME","147435","131259","16176"
"2008-07-13","ACME","175114","152853","22261"
"2008-07-14","ACME","156906","138062","18844"
"2008-07-15","ACME","94077","81433","12644"
"2008-07-16","ACME","77197","68231","8966"
"2008-07-17","ACME","217622","195688","21934"
"2008-07-18","ACME","86849","78701","8148"
"2008-07-19","ACME","63217","51230","11987"
"2008-07-20","ACME","108040","98638","9402"
"2008-07-21","ACME","163784","152531","11253"
"2008-07-22","ACME","79609","64513","15096"
"2008-07-23","ACME","154559","138672","15887"
"2008-07-24","ACME","113508","95156","18352"
"2008-07-25","ACME","121265","108943","12322"
"2008-07-26","ACME","136662","125485","11177"
"2008-07-27","ACME","124279","112734","11545"
"2008-07-28","ACME","132478","113165","19313"
"2008-07-29","ACME","130477","120886","9591"
"2008-07-30","ACME","61228","48298","12930"
"2008-07-31","ACME","80613","74817","5796"
"2008-08-01","ACME","102426","94882","7544"
"2008-08-02","ACME","155675","137156","18519"
"2008-08-03","ACME","197455","179325","18130"
"2008-08-04","ACME","87910","73423","14487"
"2008-08-05","ACME","85906","70142","15764"
"2008-08-06","ACME","86629","74257","12372"
"2008-08-07","ACME","105450","100340","5110"
"2008-08-08","ACME","109806","99465","10341"
"2008-08-09","ACME","92175","84138","8037"
"2008-08-10","ACME","114160","101506","12654"
"2008-08-11","ACME","128187","109108","19079"
"2008-08-12","ACME","84929","76407","8522"
"2008-08-13","ACME","88168","78094","10074"
"2008-08-14","ACME","124541","110823","13718"
"2008-08-15","ACME","163270","149639","13631"
"2008-08-16","ACME","135868","125795","10073"
"2008-08-17","ACME","152877","136488","16389"
